name,image,description
Forearm Stand (Pincha Mayurasana),poseimage/Forearm Stand (Pincha Mayurasana).jpeg,A challenging forearm balance.
Plank Pose (Phalakasana),poseimage/Plank Pose (Phalakasana).jpeg,Core strengthening pose.
Seated Forward Bend (Paschimottanasana),poseimage/Seated Forward Bend (Paschimottanasana).jpeg,A deep hamstring stretch.
Pyramid Pose (Parsvottanasana),poseimage/Pyramid Pose (Parsvottanasana).jpeg,An intense side stretch.
Reverse Warrior (Parsva Virabhadrasana),poseimage/Reverse Warrior (Parsva Virabhadrasana).jpeg,A powerful warrior pose.
Lotus Pose (Padmasana),poseimage/Lotus Pose (Padmasana).jpeg,A traditional meditative pose.
Boat Pose (Navasana),poseimage/Boat Pose (Navasana).jpeg,A core and hip flexor strengthener.
Cat Pose (Marjaryasana),poseimage/Cat Pose (Marjaryasana).jpeg,A gentle spinal stretch.
Garland Pose (Malasana),poseimage/Garland Pose (Malasana).jpeg,A deep squat for hip flexibility.
Monkey Pose (Hanumanasana),poseimage/Monkey Pose (Hanumanasana).jpeg,A full split and hamstring stretch.
Plow Pose (Halasana),poseimage/Plow Pose (Halasana).jpeg,An inversion pose for relaxation.
Eagle Pose (Garudasana),poseimage/Eagle Pose (Garudasana).jpeg,A balancing pose.
One-Legged King Pigeon Pose (Eka Pada Rajakapotasana),poseimage/One-Legged King Pigeon Pose (Eka Pada Rajakapotasana).jpeg,A deep hip-opening posture.
Bow Pose (Dhanurasana),poseimage/Bow Pose (Dhanurasana).jpeg,A backbend and shoulder opener.
Wild Thing (Camatkarasana),poseimage/Wild Thing (Camatkarasana).jpeg,A dynamic and playful pose.
Cow Pose (Bitilasana),poseimage/Cow Pose (Bitilasana).jpeg,A cow-inspired backbend.
Child's Pose (Balasana),poseimage/Child's Pose (Balasana).jpeg,A relaxing child's pose.
Crow Pose (Bakasana),poseimage/Crow Pose (Bakasana).jpeg,An arm balance for core strength.
Bound Angle Pose (Baddha Konasana),poseimage/Bound Angle Pose (Baddha Konasana).jpeg,A seated pose for groin and hip flexibility.
High Lunge Pose (Ashta Chandrasana),poseimage/High Lunge Pose (Ashta Chandrasana).jpeg,A lunge that stretches the legs and hips.
Dolphin Pose (Ardha Pincha Mayurasana),poseimage/Dolphin Pose (Ardha Pincha Mayurasana).jpeg,A shoulder and hamstring stretch.
Half Boat Pose (Ardha Navasana),poseimage/Half Boat Pose (Ardha Navasana).jpeg,A variation of boat pose.
Half Lord of the Fishes Pose (Ardha Matsyendrasana),poseimage/Half Lord of the Fishes Pose (Ardha Matsyendrasana).jpeg,A twisting seated pose.
Half Moon Pose (Ardha Chandrasana),poseimage/Half Moon Pose (Ardha Chandrasana).jpeg,A standing balance pose.
Low Lunge Pose (Anjaneyasana),poseimage/Low Lunge Pose (Anjaneyasana).jpeg,A hip-opening lunge variation.
Crescent Lunge Pose (Alanasana),poseimage/Crescent Lunge Pose (Alanasana).jpeg,A crescent-shaped lunge.
Handstand (Adho Mukha Vrksasana),poseimage/Handstand (Adho Mukha Vrksasana).jpeg,An advanced inversion pose.
Downward Facing Dog (Adho Mukha Svanasana),poseimage/Downward Facing Dog (Adho Mukha Svanasana).jpeg,A classic full-body stretch.
Tree Pose (Vrksasana),poseimage/Tree Pose (Vrksasana).jpeg,A standing balance pose.
Warrior II Pose (Virabhadrasana II),poseimage/Warrior II Pose (Virabhadrasana II).png,A warrior pose for leg and hip strength.
Warrior III Pose (Virabhadrasana III),poseimage/Warrior III Pose (Virabhadrasana III).jpeg,A balancing warrior pose.
Warrior I Pose (Virabhadrasana I),poseimage/Warrior I Pose (Virabhadrasana I).jpeg,A front-facing warrior pose.
Side Plank Pose (Vasisthasana),poseimage/Side Plank Pose (Vasisthasana).jpeg,A challenging side plank.
Extended Side Angle Pose (Utthita Parsvakonasana),poseimage/Extended Side Angle Pose (Utthita Parsvakonasana).jpeg,A side stretch with a lunge.
Extended Hand-to-Big-Toe Pose (Utthita Hasta Padangusthasana),poseimage/Extended Hand-to-Big-Toe Pose (Utthita Hasta Padangusthasana).jpeg,A balance-focused standing pose.
Standing Forward Bend (Uttanasana),poseimage/Standing Forward Bend (Uttanasana).jpeg,A forward bending stretch.
Chair Pose (Utkatasana),poseimage/Chair Pose (Utkatasana).jpeg,A chair-shaped pose.
Camel Pose (Ustrasana),poseimage/Camel Pose (Ustrasana).jpeg,A backbend and chest opener.
Upward Facing Dog (Urdhva Mukha Svanasana),poseimage/Upward Facing Dog (Urdhva Mukha Svanasana).jpeg,A deep backbend and heart opener.
Upward Bow Pose (Urdhva Dhanurasana),poseimage/Upward Bow Pose (Urdhva Dhanurasana).jpeg,A full backbend pose.
Seated Wide Angle Pose (Upavistha Konasana),poseimage/Seated Wide Angle Pose (Upavistha Konasana).jpeg,A seated pose for hip flexibility.
Triangle Pose (Trikonasana),poseimage/Triangle Pose (Trikonasana).jpeg,A standing pose for side stretching.
Reclining Pigeon Pose (Supta Kapotasana),poseimage/Reclining Pigeon Pose (Supta Kapotasana).jpeg,A deep hip-opening reclined pose.
Corpse Pose (Savasana),poseimage/Corpse Pose (Savasana).jpeg,A relaxation pose.
Bridge Pose (Setu Bandha Sarvangasana),poseimage/Bridge Pose (Setu Bandha Sarvangasana).jpeg,A backbend pose.
Supported Shoulderstand (Salamba Sarvangasana),poseimage/Supported Shoulderstand (Salamba Sarvangasana).jpeg,A shoulder balance pose.
Cobra Pose (Salamba Bhujangasana),poseimage/Cobra Pose (Salamba Bhujangasana).jpeg,A beginner's backbend pose.